,label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
274,up,408.0,84.42701600000001,105.49153249999999,161.484,161.484,76.201736,97.26625251,ion
275,stop,319.098,157.73973600000002,178.8042525,165.076,165.076,149.495936,170.5604525,joey
276,stop,319.098,157.73973600000002,178.8042525,165.076,165.076,149.495936,170.5604525,ion
277,down,319.098,182.92370400000001,203.9882205,166.292,166.292,174.287336,195.35185249999998,joey
278,stop,407.80199999999996,258.22533599999997,279.2898525,169.87599999999998,169.87599999999998,249.572064,270.63658050000004,joey
279,up,407.80199999999996,361.940304,383.0048205,174.692,174.692,352.86713599999996,373.9316525,joey
280,up,407.80199999999996,361.940304,383.0048205,174.692,174.692,352.86713599999996,373.9316525,ion
281,stop,348.798,414.35373599999997,435.41825250000005,177.076,177.076,405.333264,426.39778049999995,joey
282,up,348.798,414.35373599999997,435.41825250000005,177.076,177.076,405.333264,426.39778049999995,ion
283,up,348.798,458.69366399999996,454.25448,179.06799999999998,-179.06799999999998,449.928936,463.0,joey
284,stop,91.00200000000001,547.821008,252.19762599999999,-189.484,-96.346,557.265208,256.984926,joey
285,down,91.00200000000001,500.49072800000005,228.058708,-191.476,-98.338,509.84424,232.848458,joey
286,stop,150.40200000000002,442.80800800000003,198.317388,-193.87599999999998,-100.738,452.27912000000003,203.224738,joey
287,up,150.40200000000002,442.80800800000003,198.317388,-193.87599999999998,-100.738,452.27912000000003,203.224738,ion
288,up,150.40200000000002,364.77763999999996,157.54222,-197.076,-103.93799999999999,374.405552,162.60637,joey
289,up,41.303999999999995,255.19523199999998,99.27885,-201.484,-108.346,265.23943199999997,104.66615,joey
290,up,21.504,235.046848,88.444266,-202.28400000000002,-109.146,245.33212000000003,93.9795,joey
291,up,12.0,214.818464,77.529682,-203.084,-109.946,224.740768,82.888224,joey
292,down,12.0,214.818464,77.529682,-203.084,-109.946,224.740768,82.888224,ion
293,stop,12.0,214.818464,77.529682,-203.084,-109.946,224.740768,82.888224,joey
294,up,12.0,214.818464,77.529682,-203.084,-109.946,224.740768,82.888224,ion
295,down,12.0,39.438128000000006,51.6662,-209.892,116.75399999999999,49.902728,45.8385,joey
